anzianita_ipotesi,classe_importo,beneficiari,pensione_mensile_lorda,pensione_annua_lorda,ral_finale_implicita,pensione_contributiva_equivalente,componente_non_finanziata_annua,quota_non_finanziata_pct,sopra_3000_lordi,sopra_soglia_3000_netti,sopra_soglia_2500_netti
25,"1000,00-1249,99",1725424.0,1125.0,14625.0,29250.0,12169.155596291374,2455.8444037086265,16.79209848689659,False,False,False
25,"1250,00-1499,99",1666361.0,1375.0,17875.0,35750.0,14873.412395467234,3001.587604532766,16.79209848689659,False,False,False
25,"1500,00-1749,99",1636586.0,1625.0,21125.0,42250.0,17577.6691946431,3547.3308053569017,16.792098486896574,False,False,False
25,"1750,00-1999,99",1148332.0,1875.0,24375.0,48750.0,20281.925993818957,4093.074006181043,16.792098486896588,False,False,False
25,"2000,00-2249,99",956322.0,2125.0,27625.0,55250.0,22986.18279299482,4638.8172070051805,16.79209848689658,False,False,False
25,"2250,00-2499,99",695542.0,2375.0,30875.0,61750.0,25690.43959217068,5184.560407829322,16.792098486896588,False,False,False
25,"250,00-499,99",1411717.0,375.0,4875.0,9750.0,4056.385198763792,818.6148012362082,16.792098486896577,False,False,False
25,"2500,00-2999,99",856464.0,2750.0,35750.0,71500.0,29746.82479093447,6003.175209065532,16.79209848689659,False,False,False
25,"3000,00 e piÃ¹",1104624.0,3214.2398121963556,41785.11755855262,83570.23511710524,34768.51946525493,7016.598093297689,16.79209848689662,True,False,False
25,"500,00-749,99",2486968.0,625.0,8125.0,16250.0,6760.6419979396505,1364.3580020603495,16.79209848689661,False,False,False
25,"750,00-999,99",1755743.0,875.0,11375.0,22750.0,9464.898797115518,1910.1012028844816,16.792098486896542,False,False,False
25,"Fino a 249,99",620425.0,125.0,1625.0,3250.0,1352.1283995879305,272.8716004120695,16.792098486896585,False,False,False
30,"1000,00-1249,99",1725424.0,1125.0,14625.0,24375.0,12499.047279008479,2125.9527209915213,14.536428861480488,False,False,False
30,"1250,00-1499,99",1666361.0,1375.0,17875.0,29791.666666666668,15276.613341010368,2598.3866589896315,14.536428861480456,False,False,False
30,"1500,00-1749,99",1636586.0,1625.0,21125.0,35208.333333333336,18054.17940301225,3070.820596987749,14.536428861480468,False,False,False
30,"1750,00-1999,99",1148332.0,1875.0,24375.0,40625.0,20831.74546501413,3543.25453498587,14.536428861480493,False,False,False
30,"2000,00-2249,99",956322.0,2125.0,27625.0,46041.66666666667,23609.311527016012,4015.6884729839876,14.536428861480498,False,False,False
30,"2250,00-2499,99",695542.0,2375.0,30875.0,51458.333333333336,26386.877589017917,4488.122410982083,14.536428861480433,False,False,False
30,"250,00-499,99",1411717.0,375.0,4875.0,8125.0,4166.3490930028265,708.6509069971735,14.536428861480482,False,False,False
30,"2500,00-2999,99",856464.0,2750.0,35750.0,59583.333333333336,30553.226682020737,5196.773317979263,14.536428861480456,False,False,False
30,"3000,00 e piÃ¹",1104624.0,3214.2398121963556,41785.11755855262,69641.86259758771,35711.053669967645,6074.063888584977,14.536428861480447,True,False,False
30,"500,00-749,99",2486968.0,625.0,8125.0,13541.666666666668,6943.9151550047145,1181.0848449952855,14.536428861480438,False,False,False
30,"750,00-999,99",1755743.0,875.0,11375.0,18958.333333333336,9721.481217006602,1653.5187829933984,14.536428861480424,False,False,False
30,"Fino a 249,99",620425.0,125.0,1625.0,2708.3333333333335,1388.7830310009424,236.2169689990576,14.536428861480468,False,False,False
35,"1000,00-1249,99",1725424.0,1125.0,14625.0,20892.85714285714,12876.680336583406,1748.3196634165943,11.95432248489979,False,False,False
35,"1250,00-1499,99",1666361.0,1375.0,17875.0,25535.714285714283,15738.16485582416,2136.8351441758405,11.954322484899807,False,False,False
35,"1500,00-1749,99",1636586.0,1625.0,21125.0,30178.571428571424,18599.649375064913,2525.3506249350867,11.954322484899818,False,False,False
35,"1750,00-1999,99",1148332.0,1875.0,24375.0,34821.428571428565,21461.13389430568,2913.86610569432,11.954322484899775,False,False,False
35,"2000,00-2249,99",956322.0,2125.0,27625.0,39464.28571428571,24322.61841354644,3302.381586453561,11.954322484899768,False,False,False
35,"2250,00-2499,99",695542.0,2375.0,30875.0,44107.142857142855,27184.102932787206,3690.8970672127944,11.95432248489974,False,False,False
35,"250,00-499,99",1411717.0,375.0,4875.0,6964.285714285714,4292.226778861136,582.7732211388638,11.954322484899771,False,False,False
35,"2500,00-2999,99",856464.0,2750.0,35750.0,51071.428571428565,31476.32971164832,4273.670288351681,11.954322484899807,False,False,False
35,"3000,00 e piÃ¹",1104624.0,3214.2398121963556,41785.11755855262,59693.0250836466,36789.989854908745,4995.127703643877,11.954322484899816,True,False,False
35,"500,00-749,99",2486968.0,625.0,8125.0,11607.142857142857,7153.711298101889,971.288701898111,11.954322484899828,False,False,False
35,"750,00-999,99",1755743.0,875.0,11375.0,16249.999999999998,10015.195817342652,1359.804182657348,11.954322484899762,False,False,False
35,"Fino a 249,99",620425.0,125.0,1625.0,2321.428571428571,1430.7422596203774,194.25774037962265,11.954322484899855,False,False,False
