anno,sesso,eta,sopravviventi,probabilita_morte_per_mille,speranza_vita,fonte_id,natura_dato,note
2025,Totale,31,99183.0,0.37569,53.265,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,32,99146.0,0.38683,52.285,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,33,99107.0,0.41017,51.305,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,34,99067.0,0.44324,50.326,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,35,99023.0,0.4665,49.348,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,36,98977.0,0.50457,48.37,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,37,98927.0,0.54671,47.395,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,38,98873.0,0.60418,46.42,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,39,98813.0,0.66621,45.448,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,40,98747.0,0.73815,44.478,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,41,98674.0,0.791,43.51,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,42,98596.0,0.87381,42.545,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,43,98510.0,0.96882,41.581,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,44,98415.0,1.08347,40.621,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,45,98308.0,1.20518,39.665,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,46,98189.0,1.33395,38.712,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,47,98058.0,1.46636,37.763,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,48,97915.0,1.60403,36.818,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,49,97758.0,1.72645,35.876,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,50,97589.0,1.84577,34.937,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,51,97409.0,1.99893,34.001,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,52,97214.0,2.15021,33.068,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,53,97005.0,2.34164,32.138,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,54,96778.0,2.57017,31.212,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,55,96529.0,2.82958,30.292,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,56,96256.0,3.10427,29.376,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,57,95957.0,3.4155,28.466,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,58,95629.0,3.75257,27.562,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,59,95271.0,4.09468,26.664,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,60,94880.0,4.4542,25.771,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,61,94458.0,4.90825,24.884,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,62,93994.0,5.38119,24.005,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,63,93488.0,5.92679,23.132,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,64,92934.0,6.57078,22.267,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,65,92324.0,7.31549,21.411,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,66,91648.0,8.0997,20.565,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,67,90906.0,8.97807,19.729,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,68,90090.0,9.87063,18.903,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,69,89201.0,10.75368,18.086,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,70,88241.0,11.75177,17.278,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,71,87204.0,13.01744,16.477,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,72,86069.0,14.65686,15.688,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,73,84808.0,16.35501,14.914,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,74,83421.0,18.52596,14.153,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,75,81875.0,20.60918,13.411,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,76,80188.0,23.25107,12.683,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,77,78323.0,25.33288,11.973,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,78,76339.0,28.28189,11.271,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,79,74180.0,31.99242,10.584,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,80,71807.0,36.6856,9.918,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,81,69173.0,41.38712,9.276,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,82,66310.0,48.33088,8.655,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,83,63105.0,54.71313,8.07,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,84,59652.0,62.0245,7.508,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,85,55952.0,70.07082,6.971,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,86,52032.0,77.59165,6.459,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,87,47995.0,88.16759,5.96,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,88,43763.0,101.21944,5.488,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,89,39333.0,116.41132,5.049,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,90,34754.0,132.51667,4.649,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,91,30149.0,149.6359,4.283,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,92,25638.0,168.97569,3.948,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,93,21305.0,188.58325,3.649,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,94,17288.0,207.58424,3.381,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,95,13699.0,227.13695,3.136,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,96,10587.0,246.49908,2.911,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,97,7978.0,265.40469,2.7,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
