scenario_id,metrica,ricalcolo_pil,ufficiale_pubblicato,delta_assoluto,delta_pct
scenario_generico_fpld,montante_contributivo,364392.0094898,358219.85772869387,-6172.151761106157,-1.6938219281339446
scenario_generico_fpld,pensione_contributiva_annua_equivalente,19130.580498214502,18806.542530756426,-324.0379674580763,-1.6938219281339606
scenario_generico_fpld,pensione_contributiva_mensile_equivalente,1501.0147775522148,1475.5902601055043,-25.424517446710524,-1.6938219281339553
scenario_generico_fpld,differenza_annua_lorda,6486.807891821209,6817.326618628445,330.5187268072368,5.095244568965366
scenario_generico_fpld,differenza_mensile_lorda,498.9852224477852,524.4097398944957,25.424517446710524,5.095244568965366
scenario_generico_fpld,differenza_percentuale_su_contributiva,0.33243191866605554,0.35538980845333085,0.02295788978727531,6.906042560352834
scenario_generico_fpld,rapporto_prestazioni_attese_montante,1.5327124961152074,1.5591212334536375,0.026408737338430077,1.7230065916057518
scenario_carriera_lunga_mista,montante_contributivo,630060.4428368065,615129.3588187256,-14931.084018080961,-2.3697859765413485
scenario_carriera_lunga_mista,pensione_contributiva_annua_equivalente,34168.17781504002,33358.46512873949,-809.7126863005324,-2.369785976541354
scenario_carriera_lunga_mista,pensione_contributiva_mensile_equivalente,2680.8877977954476,2617.3564947164828,-63.53130307896481,-2.3697859765413525
scenario_carriera_lunga_mista,differenza_annua_lorda,-1051.5413713408198,-225.6344313142763,825.9069400265435,-78.54250555766818
scenario_carriera_lunga_mista,differenza_mensile_lorda,-80.88779779544757,-17.356494716482757,63.53130307896481,-78.54250555766818
scenario_carriera_lunga_mista,differenza_percentuale_su_contributiva,-0.03017201908336614,-0.006631307103758857,0.023540711979607283,-78.02166608261658
scenario_carriera_lunga_mista,rapporto_prestazioni_attese_montante,1.1078848564491024,1.1347766339863796,0.02689177753727723,2.4273079806748554
scenario_part_time,montante_contributivo,164439.87217817575,161803.51008654243,-2636.3620916333166,-1.6032377407693044
scenario_part_time,pensione_contributiva_annua_equivalente,7774.717156584149,7650.069956891725,-124.64719969242378,-1.6032377407693117
scenario_part_time,pensione_contributiva_mensile_equivalente,610.0162692089102,600.23625815612,-9.7800110527902,-1.6032377407693161
scenario_part_time,differenza_annua_lorda,10919.788500284169,11046.928643970441,127.1401436862725,1.1643095805652637
scenario_part_time,differenza_mensile_lorda,839.9837307910898,849.76374184388,9.7800110527902,1.1643095805652648
scenario_part_time,differenza_percentuale_su_contributiva,1.3769857841339368,1.4157154458717465,0.03872966173780967,2.81264063754797
scenario_part_time,rapporto_prestazioni_attese_montante,3.0243815401492604,3.0736596110565015,0.04927807090724112,1.6293602593808032
