indice_ccnl_id,codice_istat,contratto_istat,anno,indice_retribuzione_contrattuale,base,fonte_id,natura_dato
edilizia,Z1180,Costruzioni,2010,88.9,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2011,91.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2012,93.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2013,94.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2014,94.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2015,95.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2016,96.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2017,96.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2018,97.3,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2019,98.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2020,98.9,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2021,100.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2022,102.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2023,104.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2024,105.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
edilizia,Z1180,Costruzioni,2025,110.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2005,72.9,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2006,75.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2007,77.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2008,80.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2009,83.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
